Company Number,Report Texts
1659,瑞恩电气2017年第九次临时股东大会决议公告                                                                        
1661,第二届董事会第十二次会议决议公告                                                                        
1662,关于董事长、监事会主席及高级管理人员完成换届选举的公告                                                                        
1663,会计师事务所变更公告                                                                        
1664,关于重大事项暂停转让的进展公告                                                                        
1665,关于全资子公司完成注销的公告                                                                        
1666,董事会换届选举公告                                                                        
1667,安信证券股份有限公司关于退出为天维尔信息科技股份有限公司股票提供做市报价服务的公告
1668,财务负责人暨财务总监变动公告                                                                        
1669,关于向银行申请贷款的公告(2017/12/06)                                                                        
1670,董事、高级管理人员辞职公告                                                                        
1671,关于签署战略合作协议的公告                                                                        
1672,高级管理人员变动公告                                                                        
1673,第二届董事会第二次会议决议公告                                                                        
1674,关于董事、监事、高级管理人员的换届选举公告                                                                        
1676,关于股票延期恢复转让的公告                                                                        
1678,股权解除质押公告                                                                        
1679,关于实际控制人增加一致行动人的公告                                                                        
1680,关于重大合同的提示性公告                                                                        
1681,股票解除限售公告                                                                        
1682,对外捐赠管理制度                                                                        
1684,股票发行认购公告                                                                        
1685,股权解除质押公告                                                                        
1686,董事、监事及高级管理人员换届公告                                                                        
1687,股票解除限售公告                                                                        
1688,2017年第二次临时股东大会决议公告                                                                        
1689,董监高换届选举公告                                                                        
1690,2018年第一次临时股东大会通知公告                                                                        
1691,2018年第一次临时股东大会通知公告                                                                        
1692,关于董事、监事和高级管理人员换届选举的公告                                                                        
1693,关于股票停牌进展公告                                                                        
1694,对外担保公告                                                                        
1695,董事长、高级管理人员及监事会主席换届公告                                                                        
1696,2017年第五次临时股东大会决议公告                                                                        
1697,股权质押公告补发声明                                                                        
1698,关于董事、监事、高级管理人员换届选举的公告                                                                        
1699,2017年第七次临时股东大会决议公告                                                                        
1700,第三届监事会第三次会议决议公告                                                                        
1701,关于变更公司经营范围暨修改公司章程的公告                                                                        
1702,第二届董事会第一次会议决议公告                                                                        
1703,股票解除限售公告                                                                        
1704,董事变动公告(任职)                                                                        
1705,公司章程                                                                        
1706,权益变动公告(1)                                                                        
1707,东兴证券股份有限公司关于安徽瑞格电梯服务股份有限公司银行账户冻结未及时履行信息披露义务的风险提示公告                                                                        
1709,第二届董事会第六次会议决议公告                                                                        
1710,董事、监事及高级管理人员换届选举公告                                                                        
1712,董事辞职公告                                                                        
1713,对外投资公告(设立控股子公司)                                                                        
1714,2017年第二次临时股东大会决议公告                                                                        
1715,关于控股股东更名的公告                                                                        
1716,第二届董事会第二次会议决议公告                                                                        
1717,董事、监事、高级管理人员换届公告                                                                        
1718,第一届董事会第二十七次会议决议公告                                                                        
1719,高级管理人员换届选举公告                                                                        
1721,第二届董事会第二次会议决议公告                                                                        
1722,第一届董事会第九次会议决议公告                                                                        
1723,关于董事、监事、高级管理人员完成换届选举的公告                                                                        
1725,第二届董事会第十二次会议决议公告                                                                        
1726,关于签署战略合作协议的公告                                                                        
1727,关于公司下属担保类子公司会计政策变更的公告                                                                        
1728,关于收到中国证券监督管理委员会黑龙江监管局行政监管措施决定书的公告                                                                        
1729,出售资产的公告                                                                        
1730,股权质押公告                                                                        
1731,出售股权资产公告                                                                        
1732,第一届董事会第十九次会议决议公告                                                                        
1733,总经理辞职公告                                                                        
1734,关于重大事项暂停转让的进展公告                                                                        
1736,法定代表人变更公告                                                                        
1737,股票解除限售公告                                                                        
1738,2017年第四次临时股东大会决议公告                                                                        
1740,董事会、监事会及高级管理人员换届延期选举公告                                                                        
1741,东吴证券股份有限公司关于退出为江苏恒神股份有限公司股票提供做市报价服务的公告
1743,关于宁波交通投资控股有限公司持有的公司股份公开挂牌转让的公告                                                                        
1744,2017年第三次临时股东大会决议公告                                                                        
1745,控股股东、实际控制人涉及诉讼公告                                                                        
1746,股票解除限售公告                                                                        
1747,第二届监事会第一次会议决议公告                                                                        
1748,关于董事、监事及高管人员换届选举公告                                                                        
1750,法定代表人变更公告                                                                        
1751,涉及诉讼的公告                                                                        
1752,关于债权转让的公告                                                                        
1753,董事长、监事会主席、高级管理人员换届公告                                                                        
1754,第二届董事会第一次会议决议公告                                                                        
1755,股票发行方案(更正公告)                                                                        
1756,会计师事务所更名公告                                                                        
1757,关于公司股票延期恢复转让的公告                                                                        
1758,2017年第三次临时股东大会决议公告                                                                        
1759,2017年第六次临时股东大会决议公告                                                                        
1760,关于2018年度经常性关联交易事项公告                                                                        
1761,权益变动公告                                                                        
1762,第二届监事会第一次会议决议公告                                                                        
1763,股票解除限售公告                                                                        
1764,股份交易异常波动公告                                                                        
1765,关于公司股票延期恢复转让的进展公告                                                                        
1766,2018年第一次临时股东大会通知公告                                                                        
1768,董事会、监事会、高级管理人员换届公告                                                                        
1769,全资子公司收购资产的公告                                                                        
1770,关于董事长、高级管理人员及监事会主席换届选举公告                                                                        
1772,2017年第十次临时股东大会决议公告                                                                        
1773,2018年第一次临时股东大会通知公告                                                                        
1774,对外投资公告                                                                        
1775,2017年第二次临时股东大会决议公告                                                                        
1776,关于使用闲置资金购买股票的公告                                                                        
1777,第一届董事会第二十四次会议决议公告                                                                        
1778,2017年第二次临时股东大会决议公告                                                                        
1779,2017年第五次临时股东大会决议公告                                                                        
1780,第一届董事会第十四次会议决议公告                                                                        
1781,关于获得发明专利证书的公告                                                                        
1782,关于股东人数超过200人的提示性公告                                                                        
1783,会计师事务所变更公告                                                                        
1784,关于公司股票暂停转让进展公告                                                                        
1785,第二届监事会第二次会议决议公告                                                                        
1786,2017年第三次临时股东大会决议公告                                                                        
1787,2017年第四次临时股东大会决议公告                                                                        
1788,2017年第八次临时股东大会通知公告                                                                        
1789,2017年第二次临时股东大会决议公告                                                                        
1790,涉及诉讼公告                                                                        
1791,2017年第五次临时股东大会决议公告                                                                        
1792,股票发行情况报告书                                                                        
1793,关于修改公司章程的公告                                                                        
1794,2018年第一次临时股东大会通知公告                                                                        
1795,股票解除限售公告                                                                        
1796,2017年第六次临时股东大会决议公告                                                                        
1797,股权解除质押公告                                                                        
1798,2017年第一次职工代表大会决议公告                                                                        
1799,2017年第五次临时股东大会决议公告                                                                        
1800,申万宏源证券有限公司关于解除上海商会网网络集团股份有限公司持续督导协议的公告
1801,股票发行认购公告                                                                        
1802,关于出售库存滞销产品和闲置设备的公告                                                                        
1803,董事、监事换届公告                                                                        
1804,董事变动公告(任免情况)                                                                        
1805,出售资产公告                                                                        
1806,广东奥迪威传感科技股份有限公司关于股票延期恢复转让的公告                                                                        
1807,2017年第八次临时股东大会决议公告                                                                        
1808,第二届董事会第一次会议决议公告                                                                        
1809,第二届董事会第三次会议决议公告                                                                        
1810,关于申请银行贷款并由关联方提供担保的关联交易公告                                                                        
1812,第二届董事会第一次会议决议公告                                                                        
1813,中银国际证券有限责任公司关于与铜陵天海流体控制股份有限公司解除持续督导协议的公告
1814,董事兼董事会秘书辞职公告                                                                        
1815,第二届董事会第二次会议决议公告                                                                        
1816,股权质押公告                                                                        
1817,权益变动报告书(王敬东)                                                                        
1818,董事长、监事会主席、高级管理人员换届选举公告                                                                        
1819,关于董事、监事、高级管理人员换届选举的公告                                                                        
1820,解除股权质押公告                                                                        
1821,关于重大项目中标的公告                                                                        
1822,第二届董事会第二次会议决议公告                                                                        
1823,第一届监事会第七次会议决议公告                                                                        
1824,权益变动报告书(减持)                                                                        
1825,2017年第一次职工代表大会会议决议公告                                                                        
1826,2017年第四次临时股东大会会议决议公告                                                                        
1827,关于董事会、监事会换届选举延期的公告                                                                        
1828,2017年半年度权益分派实施公告                                                                        
1829,关于董事会、监事会换届选举的公告                                                                        
1830,关于公司向控股股东、一致行动人借款暨关联交易公告                                                                        
1831,2018年第一次临时股东大会通知公告                                                                        
1832,高级管理人员变动公告(1)                                                                        
1833,关于控股子公司工商登记完成的公告                                                                        
1834,2017年第四次临时股东大会决议公告                                                                        
1835,高级管理人员变动公告                                                                        
1836,关于与太平洋证券股份有限公司终止上市辅导的提示性公告                                                                        
1837,第一届董事会第十一次会议决议公告                                                                        
1838,2017年第四次临时股东大会决议公告                                                                        
1839,第五届董事会第十一次会议决议公告                                                                        
1840,2017年职工代表大会决议公告                                                                        
1841,监事换届任命公告                                                                        
1842,关于公司利用闲置资金购买理财产品的公告                                                                        
1843,第一届董事会第二十二次会议决议公告                                                                        
1844,关于2017年第五次临时股东大会通知公告                                                                        
1845,对外投资公告(参股公司)                                                                        
1846,2017年第七次临时股东大会决议公告                                                                        
1847,2017年第五次临时股东大会决议公告                                                                        
1848,关于公司股票暂停转让的进展公告                                                                        
1849,2017年第五次临时股东大会决议公告                                                                        
1850,股权司法冻结公告(补发)                                                                        
1851,股票解除限售公告                                                                        
1852,2018年第一次临时股东大会通知公告                                                                        
1853,关于解除股权质押公告                                                                        
1854,2017年第九次临时股东大会决议公告                                                                        
1855,关于董事会、监事会及高级管理人员延期换届公告                                                                        
1856,招商证券股份有限公司关于退出为四川梓橦宫药业股份有限公司股票提供做市报价服务的公告
1857,预计2018年度日常性关联交易的公告                                                                        
1858,关于公司股票停牌进展的公告                                                                        
1860,关联交易公告                                                                        
1861,关于被认定为厦门市高新技术企业的公告[2017-107]                                                                        
1863,第二届董事会第二次会议决议公告                                                                        
1864,2018年第一次临时股东大会通知公告                                                                        
1865,关于董事会、监事会换届公告                                                                        
1866,2017年第四次临时股东大会决议公告                                                                        
1867,股份交易异常波动公告                                                                        
1868,关于公司募集资金存放与实际使用情况的专项报告                                                                        
1869,关于公司取得工程设计资质证书的公告                                                                        
1870,关于董事会、监事会完成换届选举和聘任高级管理人员的公告                                                                        
1871,关于获取重要资质的公告                                                                        
1872,关于全资子公司吉林万汇生物科技有限公司获得医疗器械注册证的公告                                                                        
1873,2017年第三次临时股东大会决议公告                                                                        
1874,第一届监事会第七次会议决议公告                                                                        
1875,第三届监事会第三次会议决议公告                                                                        
1876,公司章程                                                                        
1877,股票解除限售公告                                                                        
1878,2017年第十三次临时股东大会决议公告                                                                        
1879,2017年第五次临时股东大会决议公告                                                                        
1880,关于预计2018年度日常性关联交易的公告                                                                        
1882,关于申请银行贷款暨资产抵押的公告                                                                        
1883,2017年半年度权益分派实施公告                                                                        
1884,2018年第一次临时股东大会通知公告                                                                        
1886,关于收到项目成交通知书的公告                                                                        
1887,第一届监事会第七次会议决议公告                                                                        
1888,2017年第三次临时股东大会决议公告                                                                        
1889,关于重大事项的进展公告                                                                        
1890,第二届董事会第一次会议决议公告                                                                        
1894,2017年第五次临时股东大会决议公告                                                                        
1895,第二届五次监事会决议公告                                                                        
1896,董事会、监事会及高级管理人员完成换届选举的公告                                                                        
1897,权益变动报告书                                                                        
1898,第二届监事会第一次会议决议公告                                                                        
1899,关于第二届董事会第一次会议决议公告                                                                        
1900,关于2017年第五次临时股东大会增加临时提案的公告                                                                        
1901,董事长、高级管理人员及监事会主席换届选举公告                                                                        
1902,第二届董事会第七次会议决议公告                                                                        
1903,2017年第一次职工代表大会决议公告                                                                        
1904,2017年第七次临时股东大会决议公告                                                                        
1905,关于召开2018年第二次临时股东大会通知公告                                                                        
1906,2017年第五次临时股东大会决议公告                                                                        
1907,对外投资公告                                                                        
1908,2018年第一次临时股东大会通知公告                                                                        
1909,兴业证券股份有限公司关于后续加入为深圳市高德信通信股份有限公司股票提供做市报价服务的公告                                                                        
1911,关联交易公告                                                                        
1912,第八次股东大会决议公告                                                                        
1913,2017年第四次临时股东大会决议公告                                                                        
1914,关于公司股票停牌的进展公告                                                                        
1915,第三届监事会第一次会议决议公告                                                                        
1916,关于董事、监事、高级管理人员换届公告                                                                        
1917,第二届监事会第二次会议决议公告                                                                        
1918,股票解除限售公告                                                                        
1919,股份交易异常波动公告(2017/12/29)                                                                        
1920,2017年第二次临时股东大会决议公告                                                                        
1921,股权质押公告                                                                        
1922,关于挂牌国有文化企业自查公告                                                                        
1923,第一届董事会第十五次会议决议公告                                                                        
1924,第一届董事会第十九次会议决议公告                                                                        
1925,2017年第三次临时股东大会决议公告                                                                        
1926,董事辞职公告                                                                        
1927,关于偶发性关联交易公告                                                                        
1928,关于高级管理人员任职资格核准的公告                                                                        
1929,2017年第一次职工代表大会决议公告                                                                        
1930,关于预计公司2018年日常性关联交易的公告                                                                        
1931,关于与国务院发展研究中心东方文化与城市研究所进行项目合作的公告                                                                        
1932,2017年第三次临时股东大会决议公告                                                                        
1933,2018年第一次临时股东大会通知公告                                                                        
1934,2017年第三次临时股东大会决议公告                                                                        
1935,权益变动报告书                                                                        
1936,第二届董事会第一次会议决议公告                                                                        
1937,重大事项停牌进展公告                                                                        
1938,2017年第五次临时股东大会决议公告                                                                        
1939,第二届董事会第三次会议决议公告                                                                        
1940,2017年半年度募集资金存放与实际使用情况的专项报告                                                                        
1941,股权质押公告(1)                                                                        
1942,第一届董事会第十二次会议决议公告                                                                        
1943,2017年第六次临时股东大会决议公告                                                                        
1944,关于完成工商变更登记的公告                                                                        
1945,股票解除限售公告                                                                        
1946,2017年第二次临时股东大会决议公告                                                                        
1947,第二届董事会第一次会议决议公告                                                                        
1948,2017年第五次临时股东大会决议公告                                                                        
1949,关于实际控制人签署一致行动协议的公告                                                                        
1950,董事长、监事会主席、高级管理人员换届选举公告                                                                        
1951,第二届董事会第一次会议决议公告                                                                        
1952,控股子公司完成工商登记的公告                                                                        
1953,国泰君安证券股份有限公司关于后续加入为广州市达瑞生物技术股份有限公司股票提供做市报价服务的公告                                                                        
1954,关于设立分公司的公告                                                                        
1955,关于公司股票暂停转让进展公告                                                                        
1956,股权质押公告                                                                        
1957,第一届董事会第十一次会议决议公告                                                                        
1958,2017年第四次临时股东大会决议公告                                                                        
1959,关于补发对外投资暨关联交易公告的声明公告                                                                        
1960,关于获得信息系统集成及服务叁级资质的公告[2017-044]                                                                        
1961,董事任职公告                                                                        
1962,2017年第七次临时股东大会决议公告                                                                        
1963,股票解除限售公告                                                                        
1964,2017年第三次临时股东大会决议公告                                                                        
1965,董事会秘书变动公告(任职)                                                                        
1966,2018年第一次临时股东大会召开通知公告                                                                        
1967,2017年第四次临时股东大会决议公告                                                                        
1968,2017年第八次临时股东大会决议公告                                                                        
1970,关于公司创新项目被列入济南市2017年科学技术发展计划第四批项目的公告                                                                        
1971,公司章程                                                                        
1972,2017年第二次临时股东大会决议公告                                                                        
1973,第一届监事会第九次会议决议公告                                                                        
1974,关于关联担保的公告                                                                        
1975,2017年第八次临时股东大会决议公告                                                                        
1976,对外投资公告                                                                        
1977,2017年度第二次临时股东大会决议公告                                                                        
1978,关于股票转让方式由做市转让方式变更为协议转让方式的提示性公告                                                                        
1979,2017年半年度报告(更正公告)                                                                        
1980,第一届董事会第十三次会议决议公告                                                                        
1981,关于控股子公司完成外资转内资并换发营业执照的公告                                                                        
1982,关于签订重大业务合同公告                                                                        
1983,高级管理人员变动公告                                                                        
1984,2017年第五次临时股东大会决议公告                                                                        
1985,关于公司董事会、监事会、公司高级管理人员延期换届的公告                                                                        
1986,第一届董事会第十二次会议决议公告                                                                        
1987,会计师事务所变更公告                                                                        
1989,2017年第四次临时股东大会决议公告                                                                        
1990,2018年第一次临时股东大会通知公告                                                                        
1991,关于重大事项停牌进展的公告                                                                        
1992,股票发行方案                                                                        
1993,权益变动公告(2017/12/27)(1)                                                                        
1994,2017年第二次临时股东大会决议公告                                                                        
1995,2017年第二次临时股东大会决议公告                                                                        
1998,2017年第四次临时股东大会决议公告                                                                        
1999,第一届董事会第十二次会议决议公告                                                                        
2000,第一届监事会第七次会议决议公告                                                                        
2001,董事、监事、高级管理人员换届的公告                                                                        
2002,监事换届选举公告                                                                        
2003,募集资金存放与实际使用情况的专项报告                                                                        
2004,高级管理人员变动公告(任免)                                                                        
2005,监事变动公告                                                                        
2006,第一届监事会第九次会议决议公告                                                                        
2007,权益变动公告                                                                        
2009,对全资子公司增加注册资本的公告                                                                        
2011,2018年第一次临时股东大会通知公告                                                                        
2012,华商林李黎(前海)联营律师事务所关于深圳世能科泰能源技术股份有限公司定向发行股票合法合规性之法律意见书                                                                        
2013,关于重大资产重组进展情况公告                                                                        
2014,股权司法冻结公告(补发)                                                                        
2015,股票解除限售公告                                                                        
2016,2017年第五次临时股东大会决议公告                                                                        
2017,第二届监事会第一次会议决议公告                                                                        
2018,第一届董事会第二十九次会议决议公告                                                                        
2019,第二届董事会第二十一次会议决议公告                                                                        
2021,关于出售全资子公司股权的公告                                                                        
2022,关于公司股票恢复转让的公告                                                                        
2023,2017年第四次临时股东大会通知公告                                                                        
2024,股权质押公告                                                                        
2025,关于修订股票发行方案的说明公告                                                                        
2026,2017年第四次临时股东大会决议公告                                                                        
2029,权益变动公告(2)                                                                        
2030,2017年第五次临时股东大会决议公告                                                                        
2031,2018年第一次临时股东大会通知公告                                                                        
2032,股票解除限售公告                                                                        
2034,汉哲管理咨询(北京)股份有限公司股东大会决议公告                                                                        
2035,股票解除限售公告                                                                        
2038,关于与上海云城融资租赁有限公司签署融资租赁合同的公告                                                                        
2039,2017年第二次临时股东大会决议公告                                                                        
2040,关于全资子公司成都共同制管有限公司完成工商变更登记的公告                                                                        
2041,2017年第一次临时股东大会决议公告                                                                        
2042,2017年第四次临时股东大会决议公告                                                                        
2043,第二届董事会第二次会议决议公告                                                                        
2044,权益变动报告书                                                                        
2045,关于追认对外投资、关联交易的声明公告                                                                        
2046,关于拟购买土地使用权的公告                                                                        
2047,关于公司控股股东、实际控制人、董事长、总经理取得境外永久居留权的公告                                                                        
2048,关于银行账户解除冻结的公告                                                                        
2049,第二届董事会第五次会议决议公告                                                                        
2050,高级管理人员任命公告                                                                        
2051,第二届监事会第一次会议决议公告                                                                        
2052,对外投资的公告                                                                        
2053,股票解除限售公告                                                                        
2054,关于被确定为2017年度国家知识产权优势企业的公告                                                                        
2055,2018年第一次临时股东大会通知的公告                                                                        
2056,股权质押公告                                                                        
2057,关于董监高完成换届选举的公告                                                                        
2058,2017年第六次临时股东大会决议公告[2017-051](补发)                                                                        
2059,东莞证券股份有限公司关于退出为广东飞新达智能设备股份有限公司提供做市报价服务的公告
