Company Numebr,CurrentRatio,QuickRatio,CashRatio,WorkingCapital,InterestCoverageRatio,CurrentLiabilityCoverage,CurrentLiabilityCoverage,AssetLiabilityRatio,LiabilityToTangibleAsset,LiabilityToTangibleAsset,LiabilityToTangibleAsset,LiabilityToTangibleAsset,LiabilityToTangibleAsset,ROA,NetProfitToCurrentAssetA,NetProfitToFixedAssetA,ROEA,EBIT,EBTAT,EBITToAsset,ReturnOnInvestedCapital,ReturnOnLongTermInvested,OperatingMarginRatio,OperatingCostRatio,OperatingProfiToRevenue,OperatingNetProfiToRevenue,GrossCostRatio,ManagementExpenseRate,FinancialExpenseRate,PeriodExpenseRate,ProfitToCost,ImpairmentLossToRevenue,EBITDAToRevenue,EBITToRevenue,ROEParentA,OperatingIncomeCashRatioA,OperatingIncomeCashRatioB,EquityAppreciationRatioA,EquityGrowthRatioA,FixedAssetsGrowthA,AssetsGrowthA,ReceivablesToIncome,ReceivableTurnoverA,InventoryTurnoverA,CurrentAssetToIncome,CurrentAssetTurnoverA,FixedAssetToIncome,FixedAssetTurnoverA,NoncurrentAssetTurnoverA,CapitalIntensity,AssetTurnoverA,EequityTurnoverA,labels
10,17.999509,13.592296,0.36613,63546202.69,-31.695175,0.010847,-0.722904,0.051935,0.051935,1.054781,0.054781,0,0,0.034942,0.038212,0.650218,0.037678,1777769.69,2492417.222,0.024699,0.036856,0.024319,0.757938,0.242062,0.048484,0.067974,1.001976,0.657855,-0.001483,0.751039,0.048821,-0.002222,0.067286,0.047001,0.037678,1.109038,0.001072,0.875217,-0.124783,0.172422,-0.130465,0.130423,7.66734,0.435563,27.636162,1.778882,0.562151,0.104541,9.565653,8.061548,1.902928,0.525506,0
11,5.590202,3.663529,0.433032,93106127.35,-15.190455,0.306783,-52.816454,0.140205,0.143148,1.163068,0.163068,0,0,0.012349,0.016795,0.073156,0.01531,1789694.87,1786806.794,0.012371,0.014265,0.014477,0.272054,0.727946,0.022725,0.021234,0.987388,0.19198,-0.001314,0.221753,0.022395,0.019247,0.075845,0.019955,0.013473,0.927048,0.069382,1.01247,0.01247,0.056752,0.025912,0.297427,3.36217,0.435737,10.210898,1.264281,0.790963,0.290258,3.445211,2.867056,1.613071,0.619935,0
15,13.492259,11.312515,5.766346,30408294.5,-19.287766,0.534151,-5.916934,0.069402,0.072284,1.074578,0.074578,0,0,0.107817,0.121832,5.950011,0.12259,4238387.66,3804027.769,0.120843,0.115858,0.131266,0.568656,0.431344,0.286009,0.32344,0.736932,0.254767,-0.017763,0.280501,0.50625,0.011913,0.351998,0.342608,0.12259,1.120524,0.105102,1.021957,0.021957,-0.092592,0.003434,0.157398,6.353305,0.428898,0.881355,2.654807,0.376675,0.05436,18.396048,5.545056,2.835148,0.352715,0
16,1.060728,0.858553,0.08658,7401456.35,1.399645,0.052732,2.694178,0.466795,0.709726,1.875453,0.875453,0,0,0.012867,0.007535,0.732581,0.006997,3338860.23,3411542.473,0.012788,0.018056,0.024,0.301756,0.698244,0.007353,0.008069,0.999336,0.23738,0.019761,0.288825,0.008001,0.011447,0.219588,0.027658,0.007482,1.001175,0.05324,1.010555,0.010555,-0.471951,0.202938,0.261016,3.83118,0.20412,11.439965,1.070936,0.933763,0.011015,90.785804,0.915796,2.162883,0.462346,0
17,2.246994,0.661866,0.119962,51196825.84,-58.444381,0.232436,27.919904,0.410828,0.410882,1.697298,0.697298,0,0,-0.227185,-0.249808,-84.697878,-0.391406,-19976086.12,-22657904.7,-0.19989,-0.329619,-0.283744,0.154119,0.845881,-0.245134,-0.277598,1.253814,0.231011,0.004117,0.383571,-0.199065,0.018677,-0.233736,-0.240624,-0.391406,1.259062,0.11495,0.718697,-0.281303,-0.558781,-0.275114,0.223495,4.474365,0.783919,16.855755,1.111242,0.899894,0.003278,305.110129,10.806633,1.203778,0.830718,0
18,1.370501,0.711709,0.294392,126229962.9,11.146466,0.050273,2.339163,0.376854,0.391655,1.604761,0.604761,0.045801,0.232689,0.078016,0.148395,0.39555,0.113232,81618342.61,76118948.77,0.083114,0.103406,0.129111,0.199311,0.800689,0.06157,0.051975,0.930392,0.049132,0.005493,0.126288,0.06012,0.000519,0.084406,0.061223,0.104002,0.955598,0.012848,1.117831,0.117831,0.172464,0.065825,0.049861,20.05561,0.168362,13.291609,0.350248,2.85512,0.131399,7.610389,2.588252,0.736609,1.357572,0
20,4.750706,3.147007,0.804078,125937493.8,56.83937,-0.494007,-53.203896,0.168058,0.173251,1.202007,0.202007,6.70E-05,8.90E-05,0.0777,0.095398,0.744505,0.09152,17720718.96,15489846.73,0.088665,0.088091,0.111519,0.311524,0.688476,0.114693,0.109112,0.898827,0.141347,0.002235,0.198565,0.140722,0.004089,0.152926,0.127062,0.09152,1.03088,-0.118935,1.099871,0.099871,-0.269267,0.077274,0.531735,1.880637,0.386099,5.165659,1.143758,0.874311,0.146556,6.82331,3.456712,1.43305,0.697812,0
21,4.564157,3.523385,0.83197,78255827.39,14.702736,1.674062,72.437087,0.200144,0.2002,1.250225,0.250225,0,0,0.058793,0.059297,0.632875,0.067721,7460508.7,6375939.265,0.068007,0.065984,0.077572,0.190156,0.809844,0.043206,0.037034,0.956794,0.105191,0.003162,0.143913,0.045435,-0.000495,0.058965,0.046496,0.067721,0.85602,0.229075,0.838843,-0.161157,-0.092456,-0.208089,0.22698,4.405666,0.142417,8.783877,0.624549,1.601155,0.058517,17.089071,16.906926,0.683696,1.462638,0
22,2.08788,1.994067,0.148,66474943.89,16.500931,-0.134966,-6.321935,0.258634,0.429095,1.348861,0.348861,0.022147,0.063822,0.071112,0.130608,1.027452,0.088956,21525828.3,17737990.47,0.085195,0.079376,0.117228,0.355172,0.644828,0.18469,0.152077,0.865863,0.145744,0.011906,0.203385,0.217578,0.009029,0.295625,0.196458,0.101269,0.871126,-0.075268,1.097642,0.097642,-0.032267,0.114268,0.624862,1.600352,0.052318,12.115812,1.164374,0.85883,0.148014,6.756127,0.875965,2.305972,0.433657,0
24,4.7553,4.073865,1.106008,205390870.1,14.584927,-0.366974,-9.262431,0.178844,0.194324,1.217795,0.217795,0,0,0.095322,0.103752,1.536368,0.107454,31604631.16,28970600.96,0.103345,0.100133,0.146472,0.495677,0.504323,0.163185,0.149622,0.86872,0.196416,0.012015,0.346762,0.191785,0.011413,0.207814,0.175241,0.107813,0.8841,-0.11129,1.391873,0.391873,0.42896,0.335407,0.773843,1.292252,0.206654,2.981407,1.44211,0.693428,0.097387,10.26835,3.94355,1.695689,0.589731,0
25,1.595077,1.529028,0.986754,9487609.34,-15.663899,-1.402284,-10.061587,0.488417,0.644076,1.954717,0.954717,0.439415,7.709038,-0.190829,-1.45601,-0.544991,-0.396831,-34805928.47,-34805928.47,-0.190829,-0.209108,-0.21149,0.791625,0.208375,-7.287779,-7.254876,9.143502,8.082888,0.435365,8.769282,-0.808104,0.087222,-4.879126,-6.819512,-0.427298,1.395779,-4.380462,0.712217,-0.287783,-0.020616,-0.025773,0.006475,154.429335,0.206324,0.32442,4.982709,0.200694,13.311931,0.075121,0.032517,35.736195,0.027983,0
26,17.197996,15.186631,3.613136,92497467.32,-219.622107,1.770018,-201.604051,0.051596,0.05342,1.054403,0.054403,0,0,0.090939,0.102995,1.339308,0.096364,11010903.66,10069116.05,0.099487,0.095887,0.11021,0.495355,0.504645,0.200524,0.183372,0.835665,0.197494,-0.000909,0.303369,0.248168,0.02365,0.209836,0.199615,0.096364,1.040677,0.183238,1.106641,0.106641,-0.027413,0.103583,0.194168,5.150181,0.208223,2.673483,1.780394,0.561673,0.136916,7.303757,4.424043,2.006432,0.498397,0
27,12.768385,10.820871,4.956084,702432666.1,-10.523268,-0.399132,10.444811,0.06199,0.075102,1.066087,0.066087,0.001722,0.002278,0.018973,0.027605,0.823248,0.022686,24002383.38,19212897.53,0.024277,0.019966,0.026097,0.70758,0.29242,0.110353,0.088761,0.985548,0.509431,-0.009623,0.612431,0.122548,0.06566,0.204958,0.101265,0.023965,0.779975,-0.10051,1.019844,0.019844,-0.07455,0.041892,1.181577,0.846327,0.490424,0.801253,3.215345,0.311009,0.107818,9.274898,1.046236,4.171152,0.239742,0
28,3.090701,3.090701,1.828673,133495874.5,-49.103398,-0.317135,-62.700468,0.219421,0.276877,1.281101,0.281101,0,0,-0.040756,-0.061734,-3.990972,-0.053634,-15858439.46,-11939868.69,-0.054496,-0.052212,-0.074519,0.534502,0.465498,-0.067014,-0.050763,1.07715,0.338563,0.001346,0.609566,-0.062715,0.001479,-0.029946,-0.066077,-0.099462,0.809309,-0.084375,1.144488,0.144488,-0.155823,0.138574,0.247456,4.04113,0,2.055399,0.82229,1.216117,0.012719,78.61974,2.562593,1.212519,0.824729,0
29,2.632083,1.599713,0.354586,12648201.3,4.372776,-0.680369,-24.210487,0.243466,0.311095,1.321818,0.321818,0,0,0.019995,0.020525,0.131943,0.017385,952324.07,542789.7985,0.029918,0.020732,0.036401,0.523303,0.476697,0.045619,0.022884,0.954381,0.390018,0.011904,0.430764,0.044243,0.045484,0.124265,0.052053,0.024482,1.078265,-0.288199,0.852657,-0.147343,-0.113896,0.048364,0.289572,3.453371,0.437304,6.657794,1.11493,0.896918,0.173435,5.765839,1.600229,1.73984,0.574765,0
30,4.18443285,3.540512051,1.152923659,48384488.05,-45.23125083,-0.107378497,-118.1836728,0.406456821,0.432192427,2.194531569,1.194518803,0.050695698,0.147190751,0.028917761,0.017878395,3.559029345,-0.074411655,12902613.71,10582609.3,0.038564422,-0.020100777,0.075066222,0.308878136,0.691468656,-0.240984208,-0.259684987,1.395153327,0.541562741,0.018993357,0.665643977,0.06469504,0.037133152,-0.111924352,-0.221803161,-0.06179446,1.070525289,-0.195930102,1.21963685,0.21963685,1.008515139,0.20129773,0.403035988,88.751197,0.322958746,46.106121,1.686880187,1.36705077,0.452008624,92.83275229,18.73326772,3.418450458,0.917678291,0
31,3.100819,2.966541,0.07809,75425582.27,-44.544761,-0.209617,-17.902666,0.192442,0.256944,1.238301,0.238301,0,0,-0.102291,-0.175195,-10.382238,-0.129457,-18725624.01,-19076010.59,-0.100371,-0.118414,-0.127416,0.343916,0.656084,-0.261143,-0.266971,1.276527,0.213623,0.005754,0.262141,-0.285406,0.354918,-0.179107,-0.256313,-0.143845,0.924459,-0.103013,1.051622,0.051622,-0.165787,-0.089279,0.872012,1.146773,0.065989,26.058119,1.523844,0.656235,0.025714,38.889068,0.971041,2.553667,0.391594,0
32,3.30057,2.492415,0.593707,235684458.7,5.537076,-0.285675,-7.191601,0.33416,0.34616,1.501862,0.501862,0.16076,0.268328,0.042988,0.051002,0.148948,0.052236,22533199.79,21046276.77,0.045445,0.051562,0.069841,0.339503,0.660497,0.087763,0.082296,0.922693,0.130461,0.01942,0.223527,0.099669,0.02812,0.144937,0.10753,0.052236,0.714886,-0.139661,1.760583,0.760583,0.164082,0.169743,0.767671,1.302641,0.395091,3.445292,1.613581,0.619739,0.552513,1.809911,1.328802,2.366139,0.422629,0
33,2.074034,1.238038,0.061993,143597778.9,3.330468,0.106573,2.241983,0.445388,0.464941,1.803063,0.803063,0.098114,0.145892,0.055138,0.046123,0.310261,0.066414,21166436.78,18277668.18,0.060959,0.072845,0.101626,0.386973,0.613027,0.101155,0.08194,0.89893,0.172131,0.040717,0.272395,0.10717,0.006725,0.18631,0.135608,0.066414,1.07467,0.091288,1.071139,0.071139,-0.030751,0.01585,0.901462,1.109309,0.716095,18.831899,1.776569,0.562883,0.2641,3.786451,2.232151,2.224567,0.449526,0
34,2.09667,1.437266,0.603707,42928421.74,7.532384,0.136835,5.348406,0.322678,0.324443,1.476403,0.476403,0.06548,0.157238,0.051668,0.077336,0.27515,0.065887,7543508.96,7318849.118,0.053038,0.063614,0.074385,0.23688,0.76312,0.056193,0.05489,0.946968,0.111415,0.008661,0.184809,0.059683,-0.008191,0.115824,0.065236,0.065887,0.909022,0.046321,1.070534,0.070534,-0.094849,0.017002,0.232679,4.297766,0.22322,4.893179,0.709762,1.408923,0.199493,5.012718,1.922219,1.229994,0.813012,0
35,2.949493,1.663259,0.524906,8013879.1,4385.097071,-0.341338,-8838.779213,0.149302,0.149302,1.175505,0.175505,0,0,-0.008776,-0.019942,-0.016304,-0.010323,696134.16,-241847.3321,0.025284,-0.010316,0.029568,0.016569,0.983431,0.147632,-0.051895,2.238322,1.087266,3.40E-05,1.243426,0.067078,-0.005109,0.771448,0.149408,-0.011972,0.798669,-0.301153,0.989782,-0.010218,1.184468,-0.009237,0.803798,1.244093,1.134809,2.159313,2.602256,0.384282,3.183037,0.314165,0.302384,5.909309,0.169225,0
36,6.533088,4.95269,1.276214,122940592.2,28.870666,-2.218764,41.868855,0.097388,0.103172,1.107895,0.107895,0,0,-0.148998,-0.226073,-0.507821,-0.159356,-33994177.08,-33994177.08,-0.148998,-0.165074,-0.156174,0.39582,0.60418,-0.929925,-0.924746,1.967411,1.272597,-0.03318,1.291866,-0.487723,0.050254,-0.810703,-0.957925,-0.148243,0.963238,-1.389204,0.898394,-0.101606,6.789081,-0.061959,0.813843,1.228739,0.989512,1.251474,4.090472,0.244471,1.821006,0.549147,0.427597,6.429122,0.155542,0
38,1.376926,1.155277,0.14919,238534297.8,-0.804798,-0.182354,-1.656025,0.627999,0.644917,2.688165,1.688165,0.42463,2.06069,-0.03017,-0.141962,-0.154224,-0.185728,-56082668.48,-55161493.2,-0.031324,-0.041044,-0.056897,0.119382,0.880618,-0.187243,-0.184243,1.204245,0.159356,0.10379,0.30083,-0.158552,0.013044,-0.016697,-0.08353,-0.185734,0.803924,-0.171879,0.949124,-0.050876,-0.080126,0.077412,0.853555,1.17157,0.208918,7.111342,1.297835,0.770514,1.194647,0.837068,0.730543,2.666679,0.374998,1
39,3.190829,3.183539,2.167018,33505941.66,50.102514,0.992705,57.625207,0.197736,0.280858,1.246472,0.246472,0,0,0.173403,0.269434,4.018402,0.211896,13200205.36,13416048.38,0.170668,0.194231,0.222501,0.812629,0.187371,0.117695,0.121731,0.927014,0.601987,0.002439,0.726948,0.130997,0.003336,0.165743,0.122212,0.211896,1.028427,0.140562,1.096255,0.096255,-0.047097,0.003068,0.10929,9.149939,0.001032,3.259051,0.451804,2.21335,0.030293,33.010448,3.783925,0.71608,1.396492,0
40,6.647422,5.610203,3.096473,9503537.77,81.160781,-1.614862,122.198554,0.069876,0.069876,1.075126,0.075126,0,0,-0.06828,-0.145009,-0.453759,-0.072417,-1804889.98,-1642361.875,-0.074946,-0.073409,-0.07776,0.393451,0.606549,-0.173012,-0.158396,1.173012,0.351981,-0.002172,0.392227,-0.174284,0.164111,-0.119955,-0.176243,-0.072417,1.406291,-0.265357,0.932473,-0.067527,0.751285,-0.113364,0.078896,12.674973,0.170438,1.965339,1.092316,0.915486,0.349075,2.864712,0.794096,2.35161,0.425241,0
41,1.301597,0.992072,0.082478,21737308.93,1.958658,0.24747,3.204945,0.514759,0.526866,2.060833,1.060833,0.297351,2.200506,0.041255,0.043114,0.182217,0.035783,10900357.42,8263602.355,0.046795,0.055933,0.070269,0.451293,0.548707,0.06629,0.05705,0.932518,0.299532,0.078498,0.419027,0.077762,-0.041175,0.241375,0.153751,0.040042,1.368507,0.251583,1.046864,0.046864,0.044905,0.087896,0.566176,1.766236,0.314668,11.926218,1.323225,0.755729,0.313085,3.194017,0.509578,3.285634,0.304355,0
42,3.77606,3.291012,0.842302,45605086.45,132.263635,-0.938455,103.508446,0.228105,0.238022,1.295514,0.295514,0,0,-0.26676,-0.307303,-3.097408,-0.342912,-19699828.51,-19208164.22,-0.273535,-0.345591,-0.491601,0.240746,0.759254,-0.619606,-0.578664,1.620025,0.631555,-0.004521,0.766813,-0.388892,0.088092,-0.537083,-0.597997,-0.33736,0.757894,-0.467987,2.264019,1.264019,0.065994,-0.126366,0.166523,6.005164,0.241883,2.380738,1.883041,0.531056,0.186822,5.35269,3.298841,2.186178,0.457419,0
43,5.318711,5.318711,4.186754,341738359.2,-203.802116,0.956429,-325.743091,0.159396,0.184116,1.189621,0.189621,0.038251,0.061458,0.064103,0.096233,0.366339,0.076698,47350629.53,40303659.23,0.075375,0.071714,0.117864,0.356199,0.643801,0.099323,0.084115,0.904457,0.189178,-0.000483,0.250848,0.110459,0.007131,0.168291,0.09834,0.076698,1.026144,0.15718,2.133176,1.133176,0.103112,0.772294,0.164521,6.078249,0,1.45338,0.874077,1.144064,0.22961,4.355218,2.322386,1.304669,0.766478,0
44,17.893044,17.867137,14.161036,30318900.99,-70.545051,2.342012,-59.079093,0.04384,0.044066,1.04585,0.04585,0,0,0.108026,0.13993,0.528377,0.114797,5019118.1,4430840.928,0.1226,0.112979,0.136029,0.669321,0.330679,0.332937,0.293914,0.682957,0.317786,-0.004654,0.335262,0.499949,0.011314,0.410679,0.328283,0.114797,0.923247,0.274926,1.129684,0.129684,-0.077277,0.130749,0.393978,2.538215,0.003041,0.601559,2.100443,0.47609,0.556259,1.797724,1.732371,2.677687,0.373457,0
45,2.874974,2.732241,0.273308,50309288.48,91.972737,0.132657,57.024407,0.335,0.335,1.50376,0.50376,0,0,0.072847,0.074828,5.105885,0.108373,5740940.07,5835777.689,0.071676,0.096182,0.104755,0.492615,0.507385,0.051982,0.053571,1.011065,0.208178,0.000579,0.451263,0.054974,0.045387,0.058662,0.05328,0.108373,1.021426,0.033034,0.945324,-0.054676,-0.323199,0.092177,0.193752,5.16125,0.035543,14.693228,0.71592,1.396803,0.010492,95.31083,36.474952,0.743336,1.345286,0
46,2.120531,1.195613,0.422481,311309957.6,11.570877,-0.081498,-4.048116,0.382545,0.393107,1.61955,0.61955,0,0,0.077562,0.08612,15.145575,0.113143,64718884.56,55535983.07,0.089114,0.089031,0.152978,0.277746,0.722254,0.126436,0.12265,0.873568,0.096354,0.013521,0.132266,0.167263,0.015529,0.161044,0.156451,0.116164,1.184914,-0.054735,1.127577,0.127577,-0.177068,0.467981,0.189298,5.28269,0.621182,3.524329,1.424166,0.702165,0.008098,123.486584,3.01688,1.755634,0.569595,0
47,1.910366,0.94949,0.039403,219500955.5,5.631894,-0.035613,-0.979064,0.391881,0.433265,1.644414,0.644414,0.029442,0.054263,0.066596,0.074309,0.336218,0.087174,49394378.65,41617618.43,0.076502,0.084771,0.128207,0.373456,0.626544,0.11345,0.111835,0.88655,0.184535,0.028656,0.239719,0.153225,0.015323,0.202377,0.161389,0.087283,0.881872,-0.028056,1.096087,0.096087,-0.041278,0.228771,0.612796,1.631865,0.756979,32.214406,1.504989,0.664457,0.332626,3.006377,1.653909,2.109618,0.47402,0
48,4.337667,3.543194,1.206035,133651799.4,34.395535,-0.112202,-9.323445,0.212155,0.215917,1.269285,0.269285,0.010785,0.012642,0.075215,0.082407,0.766658,0.092359,16575153.47,14742239.12,0.084262,0.08904,0.108949,0.461322,0.538678,0.125845,0.110836,0.893714,0.216073,0.003732,0.352399,0.13985,-0.008044,0.145521,0.128348,0.092359,0.955918,-0.034791,1.06248,0.06248,-0.01465,0.009064,0.576385,1.734952,0.246345,2.674086,1.344996,0.743497,0.144571,6.917015,5.611098,1.523214,0.656506,0
49,11.944697,11.417114,2.706268,117282399,-61.234018,-0.902049,30.686096,0.082584,0.082692,1.090018,0.090018,0,0,0.137546,0.141898,31.630423,0.152574,19289022.47,17870892.63,0.148654,0.149928,0.191155,0.642475,0.357525,0.273396,0.253296,0.729697,0.257405,-0.004393,0.32783,0.398912,0.037463,0.277744,0.269003,0.152575,0.641898,-0.134805,1.438163,0.438163,0.476502,0.395917,1.188185,0.84162,0.078844,2.472593,1.785056,0.560207,0.008008,124.875175,40.74732,1.809597,0.552609,0
50,3.603002,2.52385,0.299782,35044281.29,23.481409,-0.786543,-26.976955,0.191779,0.209615,1.237285,0.237285,0,0,0.122119,0.16864,0.584085,0.144177,9217140.99,8544162.379,0.131297,0.130409,0.177505,0.437253,0.562747,0.102102,0.100304,0.897898,0.151989,0.004813,0.320511,0.122506,0.011159,0.151263,0.113017,0.144177,0.751085,-0.129841,1.210244,0.210244,-0.075415,0.140136,0.340729,2.934881,0.178145,20.207096,0.594779,1.681298,0.171728,5.82316,3.759443,0.860776,1.161743,0
51,376.254667,376.254667,163.696073,157676202.1,52.843843,-26.181792,42.974127,0.002602,0.002602,1.002609,0.002609,0,0,-0.083777,-0.083947,-39.201476,-0.082407,-13527787.18,-13527787.18,-0.083777,-0.083996,-0.080672,0.308878136,0.691468656,-0.240984208,-0.259684987,1.395153327,0.541562741,0.018993357,0.665643977,0.06469504,0.037133152,-0.111924352,-0.221803161,-0.082407,1.070525289,-0.195930102,0.923867,-0.076133,0.33468,-0.078842,0.403035988,88.751197,0.322958746,0,1.686880187,0,0.452008624,0,0,3.418450458,0,0
